manufacturer,diameter,impulseClass,my_Isp,total_impulse
Cesaroni Technology,38.0,I,193.01576214547856,517.3
Cesaroni Technology,38.0,I,222.71871051598495,540.1
Cesaroni Technology,38.0,J,193.78439247607915,649.2
Cesaroni Technology,38.0,J,192.48095463389564,773.8
Cesaroni Technology,54.0,J,184.21762363836663,806.0
Cesaroni Technology,54.0,J,181.32255759276782,1190.0
Cesaroni Technology,54.0,K,182.38916087272528,1596.0
Cesaroni Technology,54.0,K,182.29773773444322,1994.0
Cesaroni Technology,54.0,K,181.57251209776055,2353.0
Cesaroni Technology,54.0,L,187.46688398839157,2788.0
Cesaroni Technology,98.0,K,208.48766974869542,2440.0
Cesaroni Technology,98.0,L,205.41162216223927,4808.0
Cesaroni Technology,98.0,M,208.2598143719209,7312.0
Cesaroni Technology,98.0,M,190.66814938374569,9876.0
AeroTech,24.0,F,194.01970778117567,57.1
AeroTech,29.0,G,187.6524996713093,109.9
Cesaroni Technology,54.0,J,207.48030076101418,1093.0
Cesaroni Technology,54.0,K,200.4567224186926,1408.0
Cesaroni Technology,54.0,J,212.5866320423237,746.6
Loki Research,38.0,G,208.12096500169895,122.5
Cesaroni Technology,38.0,G,207.624872579001,127.3
Cesaroni Technology,38.0,H,232.90519877675843,285.6
Cesaroni Technology,54.0,K,209.1055983271552,2398.0
Cesaroni Technology,98.0,N,194.0351941581742,14200.0
Cesaroni Technology,38.0,H,192.60253764617156,232.4
Loki Research,38.0,J,206.03838523341332,751.9
Loki Research,76.0,L,215.1814325362973,3882.0
Loki Research,38.0,H,199.11654774040096,234.4
Loki Research,38.0,I,208.03601766904518,489.8
Loki Research,38.0,J,197.54365196803786,720.9
Loki Research,38.0,H,220.94801223241592,260.1
Loki Research,38.0,I,226.1722731906218,532.5
Roadrunner Rocketry,29.0,E,192.9871440871708,39.0
Kosdon by AeroTech,75.0,M,171.6558401379258,7310.0
Kosdon by AeroTech,38.0,J,225.7171981942624,682.0
Kosdon by AeroTech,54.0,L,214.45635004007437,2756.0
AeroTech,29.0,G,169.84239002587626,108.3
AeroTech,29.0,G,163.8952599388379,102.9
AeroTech,29.0,G,195.3016402557687,84.3
AeroTech,98.0,M,149.43690796685513,8208.0
Animal Motor Works,75.0,K,164.3322776889005,1812.0
AeroTech,54.0,J,222.42569685073138,1115.0
AeroTech,75.0,L,206.62645871235767,5104.0
AeroTech,75.0,M,202.2463290547774,5220.0
AeroTech,98.0,L,172.71363024412614,3043.0
AeroTech,54.0,K,195.49302357439575,2426.0
Loki Research,76.0,M,211.7549738970145,6502.0
Loki Research,38.0,H,169.89466530750934,200.0
AeroTech,24.0,F,187.10335076123772,56.9
Kosdon by AeroTech,29.0,G,161.62645826254388,142.7
Kosdon by AeroTech,29.0,G,182.21202854230376,143.0
